id,latitude,longitude,city,
149,32.6475146,-16.9099496,Funchal,
150,40.5784406,-8.4435728,Ìgueda,
151,41.5314496,-8.6192306,Barcelos,
152,37.7463058,-25.6668573,Ponta Delgada,
153,51.5113709,7.4651736,Dortmund,
154,52.3744809,9.7385632,Hannover,
155,53.8664436,10.6847384,LÌ_beck,
156,51.7492955,-0.3422525,St Albans,
157,55.678016,12.5326186,Frederiksberg,
158,47.4990004,8.7288075,Winterthur,
159,-33.9434595,25.5327401,Port Elizabeth,
160,52.5847651,-2.127567,Wolverhampton,
161,49.5954189,17.2473483,Olomouc,
162,54.0924328,12.1287241,Rostock,
163,-25.7249999,28.1847222,Pretoria,
164,56.8812412,14.8026802,VÌ_xjÌ¦,
165,47.6589856,9.1751732,Konstanz,
166,49.2485559,7.3645551,ZweibrÌ_cken,
167,49.892691,10.8876283,Bamberg,
168,55.7461951,12.5498172,Gentofte,
169,40.2114939,-8.4292178,Coimbra,
170,41.1485925,-8.6110201,Porto,
171,13.1376189,123.734311,Legaspi,
172,46.1759065,21.3187686,Arad,
173,33.596439,-7.6179071,Casablanca ¯¤ôã¯ø¯¤¯± ¯¤ôã¯¬ô_¯¦¯¤¯Á,
174,59.8594126,17.64112,Uppsala,
175,49.79245,9.9329662,WÌ_rzburg,
176,32.8880175,-6.9135498,Khouribga ¯¨¯±ô_¯¬ôÄ¯©,
177,51.4504762,6.6352091,Moers,
178,-32.9272881,151.7812534,Newcastle,
179,-35.7072183,150.178289,Batemans Bay,
180,-34.8741198,150.6004709,Nowra,
181,39.9272322,32.8519769,Ankara,
182,41.6754295,26.5594879,Edirne,
183,40.1500808,26.4148869,Ìàanakkale,
184,41.7370223,27.2235523,K€±rklareli,
185,40.9800799,27.509836,Tekirda€Ù,
186,39.6451957,27.8918468,Bal€±kesir,
187,37.842494,27.8347381,Ayd€±n,
188,37.2167519,28.3629455,Mu€Ùla,
189,40.7842005,30.4053578,Adapazar€±,
190,38.7579642,30.5346872,Afyonkarahisar,
191,40.1435101,29.9752911,Bilecik,
192,40.7360624,31.60712,Bolu,
193,37.7248394,30.2887286,Burdur,
194,40.1837982,29.063278,Bursa,
195,37.7725246,29.0838956,Denizli,
196,40.84998,31.1584298,DÌ_zce,
197,39.7688617,30.5216389,EskiÙehir,
198,40.8324171,29.8674171,Kocaeli,
199,37.8721123,32.4840399,Konya,
200,39.4207301,29.9809917,KÌ_tahya,
201,38.6155029,27.4255716,Manisa,
202,38.6810732,29.4033271,UÙak,
203,40.6556669,29.2729091,Yalova,
204,46.356324,17.7886957,KaposvÌÁr,
205,59.3307611,18.0613098,Stockholm,
206,57.7064072,11.9686291,GÌ¦teborg,
207,35.6884244,51.4179604,¯»ôà¯±¯¤ô ,
208,60.2241869,24.6603627,Espoo,
209,59.3799136,13.5029449,Karlstad,
210,-30.2962407,153.1135293,Coffs Harbour,
211,-29.6912217,152.9337861,Grafton,
212,-28.8634654,153.5619701,Ballina,
213,51.389062,0.5049347,Rochester,
214,49.2234851,18.7392683,_ilina,
215,48.8923583,18.0393715,Tren€Ì_n,
216,49.0004114,21.2522733,PreÁov,
217,48.3772086,17.5865242,Trnava,
218,48.7384028,19.1573494,BanskÌÁ Bystrica,
219,32.6705341,51.6651161,¯¤¯µôôà¯¤ô ,
220,36.298192,59.6048042,ôÉ¯«ôà¯ø,
221,38.0775595,46.2868574,¯»¯¬¯±ô_¯_,
222,-37.814255,144.963146,Melbourne,
223,36.2804074,50.006663,ôâ¯_ôöô_ô ,
224,34.6422905,50.8779218,ôâôÉ,
225,29.6130192,52.532674,¯«óÎ¯±¯¤¯_,
226,31.3247276,48.6822509,¯¤ôàôö¯¤¯_,
227,40.2663107,-76.8861122,Harrisburg,
228,50.4499799,30.5235008,___ü„Ñ__,
229,51.4997394,31.2866057,_¤_µ„Û__„Ğ__„Ğ__,
230,46.4713468,30.7296333,___«_µ„_¡,
231,49.8418918,24.0315335,_İ„Î__„Ğ__,
232,52.4368343,30.9743404,_Ò_____µ_È„Î,
233,53.9022531,27.5618628,_Ï_ü__„_¼,
234,54.5122662,30.4244632,__„Û„ö_¡,
235,43.08872,-79.0837,Niagara Falls, Ontario
236,50.087656,14.4212126,Praha,
237,46.5446738,24.5612424,TÌ¢rgu Mureéª,
238,50.7344839,7.0999274,Bonn,
239,23.1379911,-82.3658562,Ciudad de La Habana,
240,37.5491616,45.0677367,¯¤¯±ôöôÉóÎôà,
241,37.006164,-121.563321,Gilroy,
242,-26.1563889,27.8858333,Roodepoort,
243,54.3482114,18.6542829,Gdaãsk,
244,54.5164982,18.5402738,Gdynia,
245,-26.2294444,28.1805556,Germiston,
246,-26.2125,28.2625,Boksburg,
247,27.1781213,56.2766447,¯¬ô ¯ø¯± ¯_¯¬¯¤¯_,
248,27.9537102,57.7116786,ò©ôàô ôö¯Â,
249,36.9970414,35.3267707,Adana,
250,37.574898,43.73766,HakkÌ¢ri,
251,38.4992518,43.3966821,Van,
252,39.9215462,44.0467885,I€Ùd€±r,
253,36.2019598,36.1620594,Antakya,
254,37.5872473,36.9254392,KahramanmaraÙ,
255,36.81275,34.630542,Mersin,
256,37.073671,36.255941,Osmaniye,
257,38.370254,34.0292392,Aksaray,
258,40.59866,33.616701,Ìàank€±r€±,
259,37.1792447,33.2224781,Karaman,
260,38.7253231,35.4836107,Kayseri,
261,39.847147,33.5169348,K€±r€±kkale,
262,39.1443024,34.1679955,K€±rÙehir,
263,38.6223688,34.7136022,NevÙehir,
264,37.9712079,34.6775534,Ni€Ùde,
265,39.749781,37.013697,Sivas,
266,39.8205571,34.8094917,Yozgat,
267,40.6502007,35.8338214,Amasya,
268,41.1831962,41.8278892,Artvin,
269,41.6338394,32.3384354,Bart€±n,
270,40.25569,40.224099,Bayburt,
271,40.5491496,34.9602453,Ìàorum,
272,40.9148702,38.3879289,Giresun,
273,40.460889,39.483349,GÌ_mÌ_Ùhane,
274,41.1974459,32.6218583,KarabÌ_k,
275,41.377974,33.776791,Kastamonu,
276,40.980531,37.883907,Ordu,
277,41.022809,40.519612,Rize,
278,41.2893535,36.3258984,Samsun,
279,42.0258451,35.148063,Sinop,
280,40.32648,36.55403,Tokat,
281,41.4523739,31.7884026,Zonguldak,
282,39.7201318,43.0500388,A€Ùr€±,
283,41.1140869,42.7020768,Ardahan,
284,38.8887541,40.4983659,BingÌ¦l,
285,38.4001725,42.1086262,Bitlis,
286,38.676303,39.221849,Elaz€±€Ù,
287,38.747307,41.504412,MuÙ,
288,39.7496052,39.4941023,Erzincan,
289,39.9082459,41.2758755,Erzurum,
290,40.6051586,43.0961703,Kars,
291,38.350261,38.309269,Malatya,
292,39.1080631,39.548197,Tunceli,
293,37.7640008,38.2764355,Ad€±yaman,
294,37.8830001,41.1309008,Batman,
295,37.9115543,40.2276235,Diyarbak€±r,
296,37.0598399,37.3796664,Gaziantep,
297,36.7180419,37.1168827,Kilis,
298,37.3140469,40.7406322,Mardin,
299,37.158602,38.7979301,_anl€±urfa,
300,37.931282,41.93984,Siirt,
301,37.5188049,42.4600581,_€±rnak,
302,32.7801052,-96.8000082,Dallas,
